CustomerID,Age,Income,LoanAmount,TenureMonths,InterestRate,MissedPayments,DelaysDays,PartialPayments,InteractionAttempts,SentimentScore,ResponseTimeHours,AppUsageFrequency,WebsiteVisits,Complaints,Target,Location_Suburban,Location_Urban,EmploymentStatus_Self-Employed,EmploymentStatus_Student,EmploymentStatus_Unemployed,LoanType_Business,LoanType_Education,LoanType_Home,LoanType_Personal,Debt-to-Income Ratio,Estimated EMI,Payment-to-Income Ratio,Delinquency Rate,Irregular Payment Habits,Proportion of Delayed Days,Interaction Inefficiency,Digital Engagement Score,Problem Indicator,Risk Score
CUST0011,31,1174323,127842,27,9.32,1,134,1,8,0.47,44.35,0.42,6,0,0,1,0,0,0,0,0,0,0,0,0.1088644265674776,5727.795088888888,0.0585303541416345,0.037037037037037035,1,4.962962962962963,5.095541401273885,2.652,0,0.1189404761904762
CUST0012,44,543054,958657,56,9.0,3,36,1,7,-0.1,29.13,0.96,7,0,1,0,0,0,0,1,1,0,0,0,1.7653069492168367,24308.8025,0.5371576859759803,0.05357142857142857,1,0.6428571428571429,7.0,3.3760000000000003,0,0.8136266233766234
CUST0013,56,1106862,322647,53,6.85,3,52,2,8,-0.35,1.35,0.73,22,0,0,1,0,0,0,1,1,0,0,0,0.2914970429918093,7929.455870283018,0.08596687793365046,0.05660377358490566,1,0.9811320754716981,10.666666666666664,9.238000000000001,0,0.12716666666666668
CUST0014,60,1516128,134761,26,11.92,4,17,1,4,0.71,9.46,0.06,13,1,1,0,0,1,0,0,0,0,0,1,0.08888497541104709,6521.741317948718,0.05161892387409546,0.15384615384615385,1,0.6538461538461539,2.2099447513812156,5.236,1,0.7621944444444444
CUST0015,44,1307955,480192,27,11.58,1,37,1,7,0.19,23.74,0.74,3,0,0,0,0,0,0,0,0,0,1,0,0.36713189673956675,22418.74168888889,0.2056836055266937,0.037037037037037035,1,1.3703703703703705,5.426356589147287,1.6440000000000001,0,0.03275
CUST0016,23,1273629,962871,41,12.05,1,128,1,3,0.04,40.9,0.02,20,0,0,1,0,0,1,0,0,0,0,0,0.7560058698412175,33153.48816158537,0.3123687180011011,0.024390243902439025,1,3.1219512195121952,2.631578947368421,8.012,0,0.3619880952380953
CUST0017,42,1651238,848022,39,8.13,1,43,1,4,0.49,63.53,0.65,45,2,1,1,0,0,0,0,0,0,0,1,0.5135673960991692,27489.50289615385,0.1997737665641453,0.02564102564102564,1,1.1025641025641026,2.5157232704402515,18.39,1,0.9422499999999999
CUST0018,22,1904858,566637,35,9.01,1,46,1,2,0.63,57.06,0.21,9,0,0,0,1,0,0,1,1,0,0,0,0.29746941766787866,20444.12804642857,0.12879150916086282,0.02857142857142857,1,1.3142857142857143,1.1560693641618498,3.726,0,0.12374188311688313
CUST0019,44,298723,716246,30,11.77,2,34,0,4,0.37,40.06,0.7,21,1,1,0,0,0,0,1,0,0,0,1,2.397692845880632,30900.046183333332,1.2412855863124033,0.06666666666666667,0,1.1333333333333333,2.721088435374149,8.82,1,0.7601904761904763
CUST0020,64,775644,980370,50,11.6,0,59,3,2,-0.12,5.78,0.31,29,2,1,0,1,0,0,0,1,0,0,0,1.2639432523167844,29084.31,0.4499637978247753,0.0,1,1.18,2.040816326530612,11.786000000000001,1,0.9441071428571428
CUST0021,50,1521509,378768,33,10.8,1,89,3,4,-0.24,20.94,0.87,29,0,0,1,0,0,0,0,0,1,0,0,0.24894233290765944,14886.730181818182,0.11741025664772156,0.030303030303030304,1,2.696969696969697,4.651162790697674,12.122000000000002,0,0.08573214285714287
CUST0022,58,1053088,738152,6,9.48,2,51,3,4,0.54,26.72,0.34,15,0,1,0,1,0,1,0,1,0,0,0,0.7009404722112492,128856.73413333333,1.468330101188125,0.3333333333333333,1,8.5,2.4390243902439024,6.204,0,0.8801666666666667
CUST0023,22,1280730,452980,54,14.26,4,7,0,5,0.04,44.95,0.62,10,0,1,0,0,0,1,0,1,0,0,0,0.35368891179249334,13771.430851851852,0.12903357477549696,0.07407407407407407,0,0.12962962962962962,4.385964912280701,4.372,0,0.5751944444444443
CUST0024,41,1462518,831198,50,9.39,0,106,0,8,0.41,5.14,0.29,21,0,0,0,1,0,0,0,1,0,0,0,0.5683335179464458,23128.08435,0.18976656164231825,0.0,0,2.12,5.298013245033113,8.574,0,0.18383333333333338
CUST0025,53,464480,170356,9,10.37,0,168,0,0,0.78,38.41,0.92,28,1,0,0,0,0,0,0,0,0,1,0,0.36676713744402345,20400.604211111113,0.5270566020783098,0.0,0,18.666666666666668,0.0,11.752,1,0.14876785714285712
CUST0026,32,1614397,267228,12,12.26,1,130,1,9,0.83,64.95,0.78,24,1,0,1,0,0,0,0,1,0,0,0,0.1655280578445079,24999.1794,0.18582179773624458,0.08333333333333333,1,10.833333333333334,4.66321243523316,10.068000000000001,1,0.21611904761904768
CUST0027,42,481173,92727,54,11.12,1,141,0,5,-0.44,50.94,0.24,13,1,1,1,0,0,0,0,0,0,0,0,0.19271031416974768,2576.436866666667,0.06425390119561987,0.018518518518518517,0,2.611111111111111,7.575757575757574,5.344,1,0.879480158730159
CUST0028,64,1045633,390615,14,9.45,4,95,0,0,-0.62,57.49,0.95,13,0,0,0,0,1,0,0,0,0,0,0,0.37356797270170317,30977.164553571427,0.35550329287891363,0.2857142857142857,0,6.785714285714286,0.0,5.7700000000000005,0,0.1864642857142857
CUST0029,45,1280841,582356,41,10.2,2,25,0,5,-0.48,49.24,0.36,1,0,0,1,0,0,0,0,0,0,0,1,0.4546668946418798,19153.83087804878,0.17944926070963169,0.04878048780487805,0,0.6097560975609756,8.064516129032256,0.616,0,0.020023809523809524
CUST0030,47,1613636,691211,24,13.25,2,110,0,1,0.5,15.27,0.65,12,0,0,1,0,0,1,0,0,0,1,0,0.42835620920703305,36432.57979166666,0.27093530232344837,0.08333333333333333,0,4.583333333333333,0.625,5.19,0,0.3568452380952381
CUST0031,62,1491898,450511,6,8.86,2,122,2,7,-0.26,8.4,0.74,2,1,1,1,0,0,0,1,0,0,0,1,0.3019717165650735,78411.43955000001,0.6306981272178126,0.3333333333333333,1,20.333333333333332,8.333333333333332,1.244,1,0.9088730158730159
CUST0032,48,1234057,484376,15,7.71,5,167,1,2,-0.65,59.81,0.02,29,0,0,1,0,1,0,0,0,0,0,0,0.39250699116815513,35403.84913333334,0.3442678819535889,0.3333333333333333,1,11.133333333333333,4.444444444444444,11.612000000000002,0,0.2922063492063493
CUST0033,36,1423520,61390,41,9.16,3,50,0,9,-0.8,50.23,0.96,17,0,1,0,0,0,0,0,0,0,0,0,0.04312549173878836,1965.927406504065,0.01657239018633302,0.07317073170731707,0,1.2195121951219512,29.999999999999996,7.376,0,0.6090555555555556
CUST0034,35,1819061,681040,14,13.72,4,122,2,5,-0.35,41.62,0.34,35,1,1,0,1,0,0,1,0,1,0,0,0.3743909632497206,56432.27161904762,0.37227298008619364,0.2857142857142857,1,8.714285714285714,6.666666666666666,14.204,1,0.9338015873015876
CUST0035,64,1696972,987635,50,7.26,3,4,1,5,-0.73,14.03,0.19,20,0,0,0,1,1,0,0,1,0,0,0,0.581998406573591,25727.89175,0.18193270189490457,0.06,1,0.08,13.51351351351351,8.114,0,0.10003571428571431
CUST0036,23,1403358,406898,51,14.93,0,76,3,3,-0.69,43.64,0.85,18,0,1,1,0,0,0,1,0,0,0,0,0.28994597244609,13040.881440196077,0.11151151543822241,0.0,1,1.4901960784313726,7.317073170731705,7.71,0,0.8307121212121212
CUST0037,57,1933422,388113,47,11.1,3,159,3,4,0.37,2.74,0.7,15,0,0,0,1,0,0,0,0,0,0,1,0.20073889714713083,11847.768654255318,0.07353450196132237,0.06382978723404255,1,3.382978723404255,2.721088435374149,6.42,0,0.18321428571428572
CUST0038,27,1320483,720398,37,14.87,2,0,3,1,-0.96,9.0,0.09,27,1,0,0,1,0,0,0,0,0,0,1,0.5455564365463244,28397.14809954955,0.2580614647781112,0.05405405405405406,1,0.0,7.142857142857136,10.854000000000001,1,0.27115079365079364
CUST0039,41,402967,799078,37,14.48,3,10,2,9,-0.76,22.8,0.12,3,1,0,1,0,0,1,0,1,0,0,0,1.9829861998625198,31238.91056936937,0.9302670611549642,0.08108108108108109,1,0.2702702702702703,26.470588235294112,1.2720000000000002,1,0.16498015873015873
CUST0040,29,1551351,389208,11,10.35,3,7,2,9,0.69,32.23,0.72,14,0,0,1,0,0,0,0,1,0,0,0,0.25088326239516395,38739.46445454546,0.2996572493617147,0.2727272727272727,1,0.6363636363636364,5.027932960893855,6.032000000000001,0,0.07373809523809523
CUST0041,59,1639758,71281,53,8.19,1,152,1,7,0.69,9.12,0.07,0,0,0,0,1,0,0,0,0,1,0,0,0.04347043893062269,1831.4173533018868,0.01340259247987974,0.018867924528301886,1,2.8679245283018866,3.910614525139665,0.042,0,0.1741924603174603
CUST0042,38,1530823,104189,43,7.9,1,167,4,9,-0.34,9.08,0.92,47,0,0,0,0,1,0,0,0,0,1,0,0.06806077515166678,3108.9109166666667,0.02437050593047008,0.023255813953488372,1,3.883720930232558,11.842105263157894,19.352,0,0.23136706349206348
CUST0043,24,264772,312093,22,8.54,4,31,1,6,-0.82,52.4,0.74,46,1,1,1,0,0,1,0,0,0,0,1,1.1787235810433128,16407.107304545454,0.7436031289356331,0.18181818181818182,1,1.4090909090909092,21.428571428571416,18.844,1,0.9367499999999999
CUST0044,45,326108,360655,15,12.54,0,27,0,9,0.41,41.23,0.34,15,1,0,0,0,1,0,0,1,0,0,0,1.1059372968464436,27812.511416666668,1.0234343745016987,0.0,0,1.8,5.960264900662252,6.204,1,0.3093194444444444
CUST0045,34,1262958,696403,55,8.82,2,130,3,5,-0.28,38.66,0.36,19,2,1,0,1,0,0,1,0,0,0,1,0.5514063017139129,17780.434777272727,0.16894086527602084,0.03636363636363636,1,2.3636363636363638,6.097560975609755,7.816000000000001,1,0.9566666666666667
CUST0046,29,1332867,582893,32,9.4,3,127,0,6,-0.91,32.85,0.51,32,0,0,1,0,0,0,0,1,0,0,0,0.43732270361558956,22781.401416666668,0.20510434799571153,0.09375,0,3.96875,31.578947368421044,13.106,0,0.12096428571428569
CUST0047,46,563339,412462,59,10.31,1,61,1,0,-0.68,70.32,0.36,16,2,1,0,0,0,0,1,0,0,0,0,0.7321737000278695,10534.61737259887,0.22440379322430445,0.01694915254237288,1,1.0338983050847457,0.0,6.6160000000000005,1,0.9726666666666668
CUST0048,22,1907692,444597,55,14.26,0,26,0,4,-0.73,4.06,0.78,4,0,0,1,0,1,0,0,0,0,0,1,0.23305491662176075,13366.876168181818,0.08408197655501089,0.0,0,0.4727272727272727,10.810810810810807,2.068,0,0.10140476190476187
CUST0049,40,1531329,856242,40,8.11,3,44,2,6,0.18,13.41,0.97,4,0,0,0,1,0,0,0,0,0,0,0,0.5591496014246449,27192.81885,0.21309191310293216,0.075,1,1.1,4.6875,2.182,0,0.22669426406926407
CUST0050,48,347550,299415,57,6.54,2,104,1,0,0.8,46.8,0.58,38,0,1,0,0,0,0,0,0,0,0,1,0.8615019421665947,6884.706486842105,0.23771105694750472,0.03508771929824561,1,1.8245614035087718,0.0,15.548000000000002,0,0.6695476190476191
CUST0051,27,1480626,729682,26,7.01,1,91,1,1,0.59,10.25,0.45,12,0,1,0,1,1,0,0,0,0,1,0,0.4928199288679248,32327.251324358975,0.26200202879883755,0.038461538461538464,1,3.5,0.591715976331361,5.07,0,0.6372364718614718
CUST0052,64,632882,91869,30,14.19,2,24,0,8,0.09,42.64,0.22,43,0,0,0,1,1,0,0,0,1,0,0,0.145159761219311,4148.650925,0.07866207460474464,0.06666666666666667,0,0.8,6.722689075630251,17.332,0,0.08088095238095237
CUST0053,28,537827,607243,33,12.0,1,43,2,2,-0.16,41.09,0.65,35,1,0,1,0,1,0,0,0,0,0,0,1.12906752543104,24473.733030303032,0.5460581122993758,0.030303030303030304,1,1.303030303030303,2.127659574468085,14.39,1,0.3057797619047619
CUST0054,55,1247843,635676,52,8.82,0,173,0,5,0.24,69.93,0.69,29,1,1,0,0,1,0,0,1,0,0,0,0.5094198549016182,16896.75706153846,0.1624892592565423,0.0,0,3.326923076923077,3.731343283582089,12.014000000000001,1,0.7686527777777776
CUST0055,34,1740889,815612,20,8.01,2,141,0,6,-0.11,63.66,0.69,3,1,1,0,1,1,0,0,0,0,1,0,0.46850316131585645,46224.8101,0.318629000010914,0.1,0,7.05,6.06060606060606,1.614,1,0.7429166666666664
CUST0056,37,1635434,60207,9,9.0,0,135,0,8,-0.51,68.11,0.03,22,1,0,0,1,0,0,0,0,0,0,1,0.03681408115521629,7141.219166666667,0.05239870884425786,0.0,0,15.0,13.559322033898303,8.818000000000001,1,0.4284880952380953
CUST0057,56,1903194,268401,34,7.48,3,175,1,4,0.36,8.62,0.9,20,0,0,0,0,1,0,0,0,0,0,0,0.14102661105488984,9567.17995882353,0.060322888526278644,0.08823529411764706,1,5.147058823529412,2.73972602739726,8.54,0,0.14758333333333332
CUST0058,60,795603,209292,14,14.5,2,141,0,3,0.75,62.57,0.34,20,1,1,0,1,0,0,0,0,0,0,1,0.26306084818684694,17478.373571428572,0.2636245500043902,0.14285714285714285,0,10.071428571428571,1.6216216216216215,8.204,1,0.8332261904761903
CUST0059,24,588349,527266,32,13.17,4,79,2,1,-0.25,9.73,0.74,5,0,0,0,1,0,0,0,0,0,0,1,0.8961789686053686,22263.80685,0.4540938833923403,0.125,1,2.46875,1.176470588235294,2.444,0,0.4502402597402597
CUST0060,22,1262729,546762,31,10.43,1,81,2,2,0.68,45.75,0.76,23,0,0,0,0,1,0,0,0,0,0,1,0.4330002716338977,22389.756920967742,0.21277493670582753,0.03225806451612903,1,2.6129032258064515,1.1235955056179774,9.656,0,0.30184523809523806
CUST0061,26,1226919,255157,24,13.85,0,134,1,4,-0.14,51.99,0.65,46,1,0,0,0,1,0,0,0,1,0,0,0.2079656440237701,13576.478708333332,0.1327860637091772,0.0,1,5.583333333333333,4.166666666666666,18.790000000000003,1,0.20241666666666672
CUST0062,62,1849189,72031,33,8.62,0,87,0,1,-0.2,12.0,0.39,30,1,0,0,0,0,1,0,0,1,0,0,0.03895275171980798,2700.180259090909,0.017522364187268533,0.0,0,2.6363636363636362,1.111111111111111,12.234,1,0.1602123015873016
CUST0063,24,1489349,513937,22,12.6,4,176,0,3,-0.94,45.74,0.61,18,0,0,0,0,0,0,0,1,0,0,0,0.3450749287104634,28757.11122727273,0.23170212940504392,0.18181818181818182,0,8.0,18.749999999999982,7.566,0,0.1098154761904762
CUST0064,49,1303894,917239,48,13.78,0,126,1,0,0.39,4.25,0.04,37,1,1,1,0,1,0,0,0,0,0,0,0.703461324310105,29642.107016666665,0.2728023015674587,0.0,1,2.625,0.0,14.824,1,0.6097500000000001
CUST0065,38,594030,645600,46,9.53,5,54,0,3,0.62,21.47,0.76,11,1,1,0,0,1,0,0,0,0,1,0,1.0868137972829655,19161.92260869565,0.38708999765053587,0.10869565217391304,0,1.173913043478261,1.7441860465116277,4.856,1,0.8727738095238096
CUST0066,46,1625753,634054,47,12.94,0,140,1,6,0.33,66.36,0.1,13,0,1,1,0,1,0,0,0,0,1,0,0.39000635397874095,20327.726271631203,0.15004291258239993,0.0,1,2.978723404255319,4.195804195804195,5.26,0,0.603797619047619
CUST0067,64,276077,193521,55,9.01,3,55,0,2,-0.7,12.78,0.4,49,0,0,1,0,0,1,0,0,0,1,0,0.700967483709255,4971.583811363636,0.21609553036422316,0.05454545454545454,0,1.0,4.999999999999998,19.84,0,0.12433928571428568
CUST0068,54,1076906,401977,25,9.04,2,14,0,9,-0.79,5.17,0.1,11,0,0,1,0,0,1,0,0,0,0,1,0.3732702761429503,19107.30673333333,0.21291336551193882,0.08,0,0.56,29.032258064516125,4.46,0,0.15120238095238095
CUST0069,30,333515,237771,50,7.41,1,57,1,7,0.15,32.22,0.84,14,0,1,0,1,0,0,1,0,1,0,0,0.7129244561713866,6223.655925,0.22392957168343255,0.02,1,1.14,5.6,6.104000000000001,0,0.7422103174603174
CUST0070,56,1193497,287199,45,10.24,1,162,1,5,-0.2,61.32,0.55,18,1,0,1,0,0,0,0,0,0,0,0,0.24063654956820169,8832.9648,0.0888109292273043,0.022222222222222223,1,3.6,5.5555555555555545,7.53,1,0.3333333333333332
CUST0071,34,1455564,811019,44,12.7,1,87,2,5,-0.14,5.98,0.69,27,0,1,1,0,0,0,1,0,0,0,1,0.5571853934282519,27015.534416666665,0.2227221977185476,0.022727272727272728,1,1.9772727272727273,5.208333333333333,11.214,0,0.7055396825396825
CUST0072,51,325885,810129,54,14.49,2,96,0,0,0.94,25.92,0.68,39,0,0,0,1,1,0,0,0,1,0,0,2.4859352225478313,24784.69656388889,0.9126420632022544,0.037037037037037035,0,1.7777777777777777,0.0,16.008000000000003,0,0.3081468253968254
CUST0073,35,1096209,685329,58,11.63,3,143,0,4,0.45,64.83,0.84,40,2,1,0,1,0,1,0,0,1,0,0,0.6251809645788349,18457.99746637931,0.20205633195544986,0.05172413793103448,0,2.4655172413793105,2.5806451612903225,16.504,1,0.85375
CUST0074,28,741656,690473,28,13.84,2,7,0,2,-0.18,8.95,0.13,4,0,0,0,1,0,1,0,0,0,0,0,0.930988220954189,32623.205266666668,0.5278437216175693,0.07142857142857142,0,0.25,2.1739130434782603,1.6780000000000002,0,0.1811471861471861
CUST0075,34,870688,227164,52,13.49,3,172,0,9,-0.96,22.71,0.66,4,0,0,0,0,0,0,1,0,0,0,0,0.2609017236943658,6922.240428205128,0.09540373260968514,0.057692307692307696,0,3.3076923076923075,64.28571428571423,1.996,0,0.08758333333333333
CUST0076,43,388014,506887,37,7.97,3,39,0,0,-0.93,56.16,0.58,5,2,1,0,1,0,1,0,0,0,0,0,1.3063626570175304,17066.223140315313,0.5278022898240367,0.08108108108108109,0,1.054054054054054,0.0,2.348,1,0.9211666666666667
CUST0077,60,291751,584638,57,10.63,1,13,0,7,0.37,39.34,0.03,22,0,0,0,1,1,0,0,0,0,0,1,2.0038937312982648,15435.725300877191,0.6348862681208506,0.017543859649122806,0,0.22807017543859648,4.761904761904761,8.818000000000001,0,0.09414285714285714
CUST0078,41,430203,801518,52,7.49,2,52,1,6,0.68,60.01,0.2,2,0,1,1,0,0,1,0,1,0,0,0,1.8631157848736526,20416.615875641026,0.569497168796341,0.038461538461538464,1,1.0,3.370786516853932,0.92,0,0.8203845598845599
CUST0079,36,1013738,937291,38,12.3,2,126,1,6,0.42,8.48,0.27,36,0,1,0,1,0,0,1,0,0,0,0,0.9245889963678978,34272.78538157895,0.4056999190904823,0.05263157894736842,1,3.3157894736842106,3.9473684210526314,14.562000000000001,0,0.2829904401154401
CUST0080,38,895275,563313,51,14.57,2,154,0,9,-0.19,66.32,0.07,32,1,1,0,0,1,0,0,1,0,0,0,0.6292066683421295,17884.91161617647,0.2397240394226552,0.0392156862745098,0,3.019607843137255,9.890109890109889,12.842,1,0.9495357142857143
CUST0081,44,1023651,835858,10,7.67,4,174,0,9,-0.94,67.35,0.35,42,1,1,0,1,0,0,1,0,0,0,1,0.8165458735447921,88928.32571666667,1.0424841167546364,0.4,0,17.4,56.24999999999995,17.01,1,0.9621309523809525
CUST0082,46,1460527,118487,48,12.74,1,79,1,9,0.93,11.6,0.03,20,0,1,0,0,0,1,0,1,0,0,0,0.08112619622916933,3726.41615,0.030617026456888505,0.020833333333333332,1,1.6458333333333333,4.433497536945812,8.018,0,0.6599226190476191
CUST0083,45,1753731,198694,53,11.87,0,114,0,3,0.97,2.92,0.55,19,1,1,0,1,0,0,1,0,0,1,0,0.1132978774966058,5714.358212893081,0.03910080768072012,0.0,0,2.150943396226415,1.4492753623188404,7.930000000000001,1,0.9291388888888887
CUST0084,61,395716,173853,39,11.46,1,133,2,5,0.1,71.27,0.21,0,1,1,0,1,0,0,1,1,0,0,0,0.43933780792285376,6118.065380769231,0.18552897676422175,0.02564102564102564,1,3.41025641025641,4.166666666666666,0.126,1,0.8899722222222222
CUST0085,49,784567,365261,45,9.82,2,54,0,8,-0.86,34.98,0.29,38,0,0,0,1,0,0,0,0,0,0,0,0.4655574348653461,11105.963627777779,0.16986638940120266,0.044444444444444446,0,1.2,33.33333333333332,15.374,0,0.2401666666666667
CUST0086,35,515172,285062,16,9.52,0,43,3,2,0.08,41.4,0.91,46,1,1,0,1,0,1,0,0,0,0,1,0.5533336439092187,20077.866866666667,0.46767759583207164,0.0,1,2.6875,1.6949152542372878,18.946,1,0.775345238095238
CUST0087,21,1090695,501610,55,6.88,1,17,1,8,0.78,44.54,0.5,16,0,0,0,0,0,1,0,0,0,0,0,0.4598994219282201,11996.07915151515,0.13198277228572772,0.01818181818181818,1,0.3090909090909091,4.25531914893617,6.7,0,0.06891468253968254
CUST0088,45,200126,283077,8,8.35,0,15,1,3,0.36,56.96,0.27,28,1,0,0,0,0,0,1,0,0,1,0,1.4144938688626165,37354.369125,2.239851041343953,0.0,1,1.875,2.0547945205479454,11.362000000000002,1,0.355375
CUST0089,27,1038761,937516,38,6.63,2,11,1,4,0.44,58.56,0.6,7,0,0,1,0,0,0,0,0,0,0,0,0.9025329214323603,29851.249584210527,0.34484832893276346,0.05263157894736842,1,0.2894736842105263,2.5974025974025974,3.16,0,0.017833333333333333
CUST0090,29,1276208,73782,16,11.44,2,147,5,6,-0.83,14.37,0.2,25,1,1,0,0,0,1,0,0,0,0,0,0.05781345987487933,5314.7634,0.04997395471584569,0.125,1,9.1875,22.22222222222221,10.12,1,0.8345357142857143
CUST0091,44,700315,559492,21,7.4,3,44,0,5,-0.79,17.42,0.07,27,0,0,0,1,1,0,0,0,0,0,0,0.798914774065956,30092.67685714286,0.51564242131857,0.14285714285714285,0,2.0952380952380953,16.129032258064512,10.842,0,0.12051190476190475
CUST0092,21,1969246,864886,23,13.92,0,92,2,9,-0.75,63.19,0.02,33,0,1,1,0,0,0,1,0,1,0,0,0.4391965249643772,47636.41673043478,0.2902821692999338,0.0,1,4.0,25.714285714285708,13.212000000000002,0,0.7551309523809522
CUST0093,64,1358521,904336,35,10.95,5,21,1,7,0.81,59.1,0.95,25,0,0,1,0,0,1,0,0,0,1,0,0.6656768647669046,34090.23742857143,0.3011236846120577,0.14285714285714285,1,0.6,3.664921465968586,10.57,0,0.042874999999999996
CUST0094,28,517320,704224,53,12.45,5,96,0,7,0.05,44.66,0.72,12,1,1,1,0,1,0,0,0,0,0,0,1.3612928168251759,20593.569283018867,0.47769819724005724,0.09433962264150944,0,1.8113207547169812,6.08695652173913,5.232000000000001,1,0.8957976190476191
CUST0095,44,1499445,458808,15,9.99,1,46,1,7,0.58,71.62,0.8,43,0,0,0,1,0,1,0,0,0,0,0,0.3059852145293759,34406.7766,0.27535609455498533,0.06666666666666667,1,3.066666666666667,4.166666666666666,17.68,0,0.11019047619047617
CUST0096,31,941426,203245,23,11.26,4,28,0,2,-0.77,53.07,0.98,36,0,1,0,0,1,0,0,0,0,0,0,0.21589057451143265,10743.854713768116,0.13694783930464785,0.17391304347826086,0,1.2173913043478262,6.06060606060606,14.988,0,0.8031785714285715
CUST0097,37,698716,172258,43,14.51,2,44,0,9,0.86,15.93,0.93,12,0,1,0,1,0,0,1,0,0,0,1,0.24653507290515747,6088.886316666667,0.10457272454044277,0.046511627906976744,0,1.0232558139534884,4.591836734693878,5.3580000000000005,0,0.6899226190476192
CUST0098,28,1243917,685956,24,7.2,3,76,0,5,0.64,61.04,0.74,37,1,0,1,0,0,1,0,0,1,0,0,0.5514483683396882,32697.236,0.31542846669030167,0.125,0,3.1666666666666665,2.8735632183908044,15.244000000000002,1,0.18573809523809526
CUST0099,55,1423975,504418,41,8.66,2,8,1,6,-0.55,30.15,0.69,24,1,0,0,1,0,1,0,0,0,0,1,0.3542323425621939,15943.094615447153,0.13435427966457686,0.04878048780487805,1,0.1951219512195122,10.909090909090908,10.014000000000001,1,0.1714047619047619
CUST0100,55,662120,532616,18,13.13,3,23,1,8,0.75,3.08,0.34,46,1,0,0,1,0,0,0,0,1,0,0,0.8044100767232526,35417.48451111111,0.6418924275559316,0.16666666666666666,1,1.2777777777777777,4.324324324324324,18.604000000000003,1,0.37598412698412703
CUST0101,53,1383445,436328,51,7.34,2,14,1,9,-0.47,23.48,0.1,22,0,1,0,0,0,0,1,0,0,0,0,0.3153923719410602,11224.323913725491,0.09735976996895856,0.0392156862745098,1,0.27450980392156865,14.285714285714283,8.860000000000001,0,0.07961904761904762
